"age_binned" "mean" "startTime" "endTime"
"263" "(36,48]" 0.0873874408623118 -300 3250
"264" "(48,60]" 0.0448479718400001 -300 3250
"265" "(12,24]" 0.0288039994815314 -300 3300
"266" "(24,36]" 0.0505115726914278 -300 3300
"267" "(36,48]" 0.0899691968165188 -300 3300
"268" "(48,60]" 0.0470521460887096 -300 3300
"269" "(12,24]" 0.0296578278033016 -300 3350
"270" "(24,36]" 0.0493582168511784 -300 3350
"271" "(36,48]" 0.0921526391819416 -300 3350
"272" "(48,60]" 0.0489745744767531 -300 3350
"273" "(12,24]" 0.0301305296575599 -300 3400
"274" "(24,36]" 0.0474497365883195 -300 3400
"275" "(36,48]" 0.0932928904998025 -300 3400
"276" "(48,60]" 0.0508132539197598 -300 3400
"277" "(12,24]" 0.0304091028150194 -300 3450
"278" "(24,36]" 0.0490246472315181 -300 3450
"279" "(36,48]" 0.093890684831954 -300 3450
"280" "(48,60]" 0.0490584788193873 -300 3450
"281" "(12,24]" 0.0260586266522454 -300 3500
"282" "(24,36]" 0.0506706854414514 -300 3500
"283" "(36,48]" 0.0947131368696206 -300 3500
"284" "(48,60]" 0.0494898895896 -300 3500
"285" "(12,24]" 0.0267061304842973 -300 3550
"286" "(24,36]" 0.0508923763045606 -300 3550
"287" "(36,48]" 0.095225182873795 -300 3550
"288" "(48,60]" 0.0501030032061062 -300 3550
"289" "(12,24]" 0.0287531164082484 -300 3600
"290" "(24,36]" 0.0493616748679344 -300 3600
"291" "(36,48]" 0.0965684409103666 -300 3600
"292" "(48,60]" 0.0510314371536273 -300 3600
"293" "(12,24]" 0.0281440442283232 -300 3650
"294" "(24,36]" 0.0484258827001721 -300 3650
"295" "(36,48]" 0.0977341711461264 -300 3650
"296" "(48,60]" 0.0519015937263059 -300 3650
"297" "(12,24]" 0.0311869973727099 -300 3700
"298" "(24,36]" 0.0503876576687209 -300 3700
"299" "(36,48]" 0.0978013099447159 -300 3700
"300" "(48,60]" 0.0520587693406547 -300 3700
"301" "(12,24]" 0.0302237803329028 -300 3750
"302" "(24,36]" 0.0504985161313569 -300 3750
"303" "(36,48]" 0.0984694450029317 -300 3750
"304" "(48,60]" 0.0508696473689717 -300 3750
"305" "(12,24]" 0.0299869658060679 -300 3800
"306" "(24,36]" 0.050233134611586 -300 3800
"307" "(36,48]" 0.0988157858284238 -300 3800
"308" "(48,60]" 0.0492860746264607 -300 3800
"309" "(12,24]" 0.0308943494970295 -300 3850
"310" "(24,36]" 0.0498433804916716 -300 3850
"311" "(36,48]" 0.100239558747248 -300 3850
"312" "(48,60]" 0.0480548342142672 -300 3850
"313" "(12,24]" 0.0311753119306545 -300 3900
"314" "(24,36]" 0.0497950904613213 -300 3900
"315" "(36,48]" 0.100962720656714 -300 3900
"316" "(48,60]" 0.0468414503831378 -300 3900
"317" "(12,24]" 0.0306093195024171 -300 3950
"318" "(24,36]" 0.0514018110330142 -300 3950
"319" "(36,48]" 0.101464552879942 -300 3950
"320" "(48,60]" 0.0454644127756961 -300 3950
"321" "(12,24]" 0.0304197668956131 -300 4000
"322" "(24,36]" 0.0526522889851628 -300 4000
"323" "(36,48]" 0.102546693077499 -300 4000
"324" "(48,60]" 0.0437622627247476 -300 4000
"325" "(12,24]" 0.014843401946033 -250 0
"326" "(24,36]" -0.000694215023962161 -250 0
"327" "(36,48]" -0.0187928414901623 -250 0
"328" "(48,60]" 0.0141085264713252 -250 0
"329" "(12,24]" 0.012086477253735 -250 50
"330" "(24,36]" 0.000461421093810583 -250 50
"331" "(36,48]" -0.0156431946720618 -250 50
"332" "(48,60]" 0.0121927791505517 -250 50
"333" "(12,24]" 0.0123080637314602 -250 100
"334" "(24,36]" -0.00173861118645113 -250 100
"335" "(36,48]" -0.0150513350442561 -250 100
"336" "(48,60]" 0.0184973131242013 -250 100
"337" "(12,24]" 0.0167817349638626 -250 150
"338" "(24,36]" -0.00601407477038691 -250 150
"339" "(36,48]" -0.0112712641960414 -250 150
"340" "(48,60]" 0.0246822437725137 -250 150
"341" "(12,24]" 0.0198717342186845 -250 200
"342" "(24,36]" -0.00916550966647266 -250 200
"343" "(36,48]" -0.00711704594697765 -250 200
"344" "(48,60]" 0.0308301863590822 -250 200
"345" "(12,24]" 0.0177966565845794 -250 250
"346" "(24,36]" -0.0136654490637404 -250 250
"347" "(36,48]" -0.00448273569668784 -250 250
"348" "(48,60]" 0.0421658768832384 -250 250
"349" "(12,24]" 0.0106743434888531 -250 300
"350" "(24,36]" -0.0166566224307564 -250 300
"351" "(36,48]" -0.00106373832793563 -250 300
"352" "(48,60]" 0.0488544497837773 -250 300
"353" "(12,24]" 0.00979568143392846 -250 350
"354" "(24,36]" -0.0172568965954886 -250 350
"355" "(36,48]" -0.00127473381873299 -250 350
"356" "(48,60]" 0.0533545632276516 -250 350
"357" "(12,24]" 0.00557219398644731 -250 400
"358" "(24,36]" -0.0199104506053866 -250 400
"359" "(36,48]" -0.00262349062666621 -250 400
"360" "(48,60]" 0.0502016499284735 -250 400
"361" "(12,24]" 0.0182761319584161 -250 450
"362" "(24,36]" -0.0167216142905712 -250 450
"363" "(36,48]" -0.00333121709621917 -250 450
"364" "(48,60]" 0.0469446010508229 -250 450
"365" "(12,24]" 0.00872968591098056 -250 500
"366" "(24,36]" -0.0166116155193842 -250 500
"367" "(36,48]" -0.0029992323776912 -250 500
"368" "(48,60]" 0.0404586875731007 -250 500
"369" "(12,24]" 0.00531922534497544 -250 550
"370" "(24,36]" -0.0197585076427465 -250 550
"371" "(36,48]" -0.00255786917488108 -250 550
"372" "(48,60]" 0.0449652111584235 -250 550
"373" "(12,24]" 0.00378844796544607 -250 600
"374" "(24,36]" -0.0196313962208709 -250 600
"375" "(36,48]" -0.00415220041868158 -250 600
"376" "(48,60]" 0.0389891299420314 -250 600
"377" "(12,24]" -0.00669462275178959 -250 650
"378" "(24,36]" -0.0201958144171321 -250 650
"379" "(36,48]" -0.00722791051773116 -250 650
"380" "(48,60]" 0.033928533524237 -250 650
"381" "(12,24]" -0.00512080908886044 -250 700
"382" "(24,36]" -0.0211261387261984 -250 700
"383" "(36,48]" -0.00803172382332018 -250 700
"384" "(48,60]" 0.0332652426906862 -250 700
"385" "(12,24]" -0.0103521404208377 -250 750
"386" "(24,36]" -0.0230772382516121 -250 750
"387" "(36,48]" -0.0105635075746819 -250 750
"388" "(48,60]" 0.0300088724563635 -250 750
"389" "(12,24]" 0.00705202736498178 -250 800
"390" "(24,36]" -0.0230167058081694 -250 800
"391" "(36,48]" -0.00836167395561217 -250 800
"392" "(48,60]" 0.0277862927579996 -250 800
"393" "(12,24]" 0.000305295139568355 -250 850
"394" "(24,36]" -0.0230677463520384 -250 850
"395" "(36,48]" -0.00731187882854957 -250 850
"396" "(48,60]" 0.0289168321588048 -250 850
"397" "(12,24]" 0.00365506483861969 -250 900
"398" "(24,36]" -0.0237119754210871 -250 900
"399" "(36,48]" -0.00639385918206083 -250 900
"400" "(48,60]" 0.0287745589542922 -250 900
"401" "(12,24]" 0.00522012328913117 -250 950
"402" "(24,36]" -0.0246162354564925 -250 950
"403" "(36,48]" -0.00336907943939387 -250 950
"404" "(48,60]" 0.0272317388963105 -250 950
"405" "(12,24]" 0.00599743694205509 -250 1000
"406" "(24,36]" -0.0203163278321717 -250 1000
"407" "(36,48]" -0.000175623592520913 -250 1000
"408" "(48,60]" 0.0279627570050748 -250 1000
"409" "(12,24]" 0.00863377677049852 -250 1050
"410" "(24,36]" -0.0162175103073243 -250 1050
"411" "(36,48]" 0.00416425863196596 -250 1050
"412" "(48,60]" 0.0312391586712032 -250 1050
"413" "(12,24]" 0.00612468342890271 -250 1100
"414" "(24,36]" -0.0138053945259945 -250 1100
"415" "(36,48]" 0.00819280135019847 -250 1100
"416" "(48,60]" 0.0311159985918358 -250 1100
"417" "(12,24]" 0.00743494055215275 -250 1150
"418" "(24,36]" -0.00968375051239521 -250 1150
"419" "(36,48]" 0.0110165427405449 -250 1150
"420" "(48,60]" 0.0190871906381786 -250 1150
"421" "(12,24]" 0.0148926022310284 -250 1200
"422" "(24,36]" -0.00561409083021263 -250 1200
"423" "(36,48]" 0.0206830353198484 -250 1200
"424" "(48,60]" 0.0190145408313783 -250 1200
"425" "(12,24]" 0.0193815331471033 -250 1250
"426" "(24,36]" -0.0026291284347516 -250 1250
"427" "(36,48]" 0.0231769578624889 -250 1250
"428" "(48,60]" 0.0175096676896098 -250 1250
"429" "(12,24]" 0.019942593969895 -250 1300
"430" "(24,36]" -0.00172111417329713 -250 1300
"431" "(36,48]" 0.024798634203461 -250 1300
"432" "(48,60]" 0.0162417664766747 -250 1300
"433" "(12,24]" 0.0194719126157898 -250 1350
"434" "(24,36]" -0.000567426823157049 -250 1350
"435" "(36,48]" 0.0269041105640313 -250 1350
"436" "(48,60]" 0.0158596170942305 -250 1350
"437" "(12,24]" 0.0206734847606712 -250 1400
"438" "(24,36]" 0.00161784356607622 -250 1400
"439" "(36,48]" 0.0312537734610007 -250 1400
"440" "(48,60]" 0.0142057021451733 -250 1400
"441" "(12,24]" 0.0244941605669504 -250 1450
"442" "(24,36]" 0.00381228827729654 -250 1450
"443" "(36,48]" 0.0371724709654429 -250 1450
"444" "(48,60]" 0.0139403885041129 -250 1450
"445" "(12,24]" 0.023755175838559 -250 1500
"446" "(24,36]" 0.00534494320226914 -250 1500
"447" "(36,48]" 0.0398591009288811 -250 1500
"448" "(48,60]" 0.00874378272145524 -250 1500
"449" "(12,24]" 0.0163542469518503 -250 1550
"450" "(24,36]" 0.00719049896463468 -250 1550
"451" "(36,48]" 0.0440720770342689 -250 1550
"452" "(48,60]" 0.0140086770131539 -250 1550
"453" "(12,24]" 0.020286112015988 -250 1600
"454" "(24,36]" 0.0145181128003836 -250 1600
"455" "(36,48]" 0.0485194938560393 -250 1600
"456" "(48,60]" 0.0147306544387691 -250 1600
"457" "(12,24]" 0.0226916095047505 -250 1650
"458" "(24,36]" 0.0170905783628593 -250 1650
"459" "(36,48]" 0.050050604713605 -250 1650
"460" "(48,60]" 0.0134575421953064 -250 1650
"461" "(12,24]" 0.0225293713124182 -250 1700
"462" "(24,36]" 0.0211228927377468 -250 1700
"463" "(36,48]" 0.0525218835442128 -250 1700
"464" "(48,60]" 0.0156610165801279 -250 1700
"465" "(12,24]" 0.0233558857376545 -250 1750
"466" "(24,36]" 0.0246925272515053 -250 1750
"467" "(36,48]" 0.0533694429459624 -250 1750
"468" "(48,60]" 0.015688133418133 -250 1750
