"","age_binned","mean","startTime","endTime"
"279","(36,48]",0.0539071040547467,-300,1725
"280","(48,60]",0.0334646205503852,-300,1725
"281","(12,24]",0.00876867804303264,-300,1750
"282","(24,36]",0.0333581974184407,-300,1750
"283","(36,48]",0.0601568354788096,-300,1750
"284","(48,60]",0.0340108092366702,-300,1750
"285","(12,24]",0.00794295756170648,-300,1775
"286","(24,36]",0.0346722127670832,-300,1775
"287","(36,48]",0.0616693113247857,-300,1775
"288","(48,60]",0.0343097752402306,-300,1775
"289","(12,24]",0.0105373361542294,-300,1800
"290","(24,36]",0.0354333502046741,-300,1800
"291","(36,48]",0.0621701660409577,-300,1800
"292","(48,60]",0.0351629503727079,-300,1800
"293","(12,24]",0.0110608479795927,-300,1825
"294","(24,36]",0.0362697498485614,-300,1825
"295","(36,48]",0.0638983503115041,-300,1825
"296","(48,60]",0.0362779006761802,-300,1825
"297","(12,24]",0.0117249582456965,-300,1850
"298","(24,36]",0.0375120580648042,-300,1850
"299","(36,48]",0.0627429273080862,-300,1850
"300","(48,60]",0.0404148759516126,-300,1850
"301","(12,24]",0.0115907030090007,-300,1875
"302","(24,36]",0.0387530200628253,-300,1875
"303","(36,48]",0.0608629561209281,-300,1875
"304","(48,60]",0.0420973521173029,-300,1875
"305","(12,24]",0.0123847195402572,-300,1900
"306","(24,36]",0.0399525770253303,-300,1900
"307","(36,48]",0.0595089609860737,-300,1900
"308","(48,60]",0.0431524947104597,-300,1900
"309","(12,24]",0.0121499659306808,-300,1925
"310","(24,36]",0.0386723329730407,-300,1925
"311","(36,48]",0.0587973849551602,-300,1925
"312","(48,60]",0.0435769898513943,-300,1925
"313","(12,24]",0.0130859811402739,-300,1950
"314","(24,36]",0.0394822291239249,-300,1950
"315","(36,48]",0.0564129695817811,-300,1950
"316","(48,60]",0.0448466124749876,-300,1950
"317","(12,24]",0.0147092111678615,-300,1975
"318","(24,36]",0.04064508840946,-300,1975
"319","(36,48]",0.0563222088785748,-300,1975
"320","(48,60]",0.0459004431704154,-300,1975
"321","(12,24]",0.0148554703625503,-300,2000
"322","(24,36]",0.0420130686985222,-300,2000
"323","(36,48]",0.0568181629569515,-300,2000
"324","(48,60]",0.0486881037935674,-300,2000
"325","(12,24]",0.0157700939390793,-300,2025
"326","(24,36]",0.0417554951819757,-300,2025
"327","(36,48]",0.0575720584719973,-300,2025
"328","(48,60]",0.0495448111686076,-300,2025
"329","(12,24]",0.0182249740995327,-300,2050
"330","(24,36]",0.0419667481192171,-300,2050
"331","(36,48]",0.0587780409671573,-300,2050
"332","(48,60]",0.0502211821334188,-300,2050
"333","(12,24]",0.0180324804999218,-300,2075
"334","(24,36]",0.0426235956010306,-300,2075
"335","(36,48]",0.0602748057632993,-300,2075
"336","(48,60]",0.0511558630217794,-300,2075
"337","(12,24]",0.019406433286209,-300,2100
"338","(24,36]",0.0434672734663107,-300,2100
"339","(36,48]",0.0616089873516603,-300,2100
"340","(48,60]",0.0514850496479649,-300,2100
"341","(12,24]",0.0202640693764066,-300,2125
"342","(24,36]",0.044309401804292,-300,2125
"343","(36,48]",0.0633229179172014,-300,2125
"344","(48,60]",0.053001464817854,-300,2125
"345","(12,24]",0.022535836342584,-300,2150
"346","(24,36]",0.0453085709401662,-300,2150
"347","(36,48]",0.064956087007919,-300,2150
"348","(48,60]",0.0554602019671079,-300,2150
"349","(12,24]",0.0221331830172608,-300,2175
"350","(24,36]",0.04418128761802,-300,2175
"351","(36,48]",0.0668063012209112,-300,2175
"352","(48,60]",0.0561077781361514,-300,2175
"353","(12,24]",0.0225878069122693,-300,2200
"354","(24,36]",0.0450668878849408,-300,2200
"355","(36,48]",0.0673451373195817,-300,2200
"356","(48,60]",0.0620342152808666,-300,2200
